Recording,Recorder,Date,Time,Path,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat
G03_20180511_120000,G03,2018/05/11,12:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_120000.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_121600,G03,2018/05/11,12:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_121600.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_123200,G03,2018/05/11,12:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_123200.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_124800,G03,2018/05/11,12:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_124800.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_130400,G03,2018/05/11,13:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_130400.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_132000,G03,2018/05/11,13:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_132000.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_133600,G03,2018/05/11,13:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_133600.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_135200,G03,2018/05/11,13:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_135200.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_140800,G03,2018/05/11,14:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_140800.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_142400,G03,2018/05/11,14:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_142400.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_144000,G03,2018/05/11,14:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_144000.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
G03_20180511_145600,G03,2018/05/11,14:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_145600.wav,Alejandria,El Respaldo,6.4137,-75.0366,1322,Forest
