Recording,Cluster
G03_20180511_120000,2
G03_20180511_121600,1
G03_20180511_123200,2
G03_20180511_124800,1
G03_20180511_130400,1
G03_20180511_132000,2
G03_20180511_133600,1
G03_20180511_135200,1
G03_20180511_140800,2
G03_20180511_142400,1
G03_20180511_144000,2
G03_20180511_145600,2
G03_20180511_151200,1
G03_20180511_152800,2
G03_20180511_154400,2
G03_20180511_160000,1
G03_20180511_161600,1
G03_20180511_163200,1
G03_20180511_164800,1
G03_20180511_200000,2
G03_20180511_201600,2
G03_20180511_203200,1
G03_20180511_204800,2
G03_20180511_210400,1
G03_20180511_212000,2
G03_20180511_213600,1
G03_20180511_215200,2
G03_20180511_220800,2
G03_20180511_222400,1
G03_20180511_224000,2
G03_20180511_225600,1
G03_20180511_231200,1
G03_20180511_232800,1
G03_20180511_234400,1
G03_20180512_000000,1
G03_20180512_001600,1
G03_20180512_003200,1
G03_20180512_004800,1
G03_20180512_010400,1
G03_20180512_012000,1
G03_20180512_013600,1
G03_20180512_015200,1
G03_20180512_020800,1
G03_20180512_022400,1
G03_20180512_024000,1
G03_20180512_025600,1
G03_20180512_031200,2
G03_20180512_032800,1
G03_20180512_034400,1
G03_20180512_040000,2
G03_20180512_041600,1
G03_20180512_043200,1
G03_20180512_044800,2
G03_20180512_080000,2
G03_20180512_081600,1
G03_20180512_083200,1
G03_20180512_084800,2
G03_20180512_090400,1
G03_20180512_092000,1
G03_20180512_093600,1
G03_20180512_095200,1
G03_20180512_100800,1
G03_20180512_102400,2
G03_20180512_104000,2
G03_20180512_105600,1
G03_20180512_111200,1
G03_20180512_112800,1
G03_20180512_114400,2
G03_20180512_120000,1
G03_20180512_121600,2
G03_20180512_123200,1
G03_20180512_124800,1
G03_20180512_130400,2
G03_20180512_132000,1
G03_20180512_133600,1
G03_20180512_135200,1
G03_20180512_140800,1
G03_20180512_142400,2
G03_20180512_144000,1
G03_20180512_145600,1
G03_20180512_151200,2
G03_20180512_152800,1
G03_20180512_154400,1
G03_20180512_160000,1
G03_20180512_161600,1
G03_20180512_163200,2
G03_20180512_164800,1
G03_20180512_200000,1
G03_20180512_201600,1
G03_20180512_203200,2
G03_20180512_204800,3
G03_20180512_210400,1
G03_20180512_212000,1
G03_20180512_213600,1
G03_20180512_215200,1
G03_20180512_220800,2
G03_20180512_222400,1
G03_20180512_224000,1
G03_20180512_225600,2
G03_20180512_231200,1
G03_20180512_232800,2
G03_20180512_234400,1
G03_20180513_000000,1
G03_20180513_001600,1
G03_20180513_003200,1
G03_20180513_004800,2
G03_20180513_010400,1
G03_20180513_012000,2
G03_20180513_013600,1
G03_20180513_015200,1
G03_20180513_020800,1
G03_20180513_022400,1
G03_20180513_024000,2
G03_20180513_025600,1
G03_20180513_031200,1
G03_20180513_032800,1
G03_20180513_034400,1
G03_20180513_040000,1
G03_20180513_041600,2
G03_20180513_043200,2
G03_20180513_044800,1
G03_20180513_080000,2
G03_20180513_081600,1
G03_20180513_083200,1
G03_20180513_084800,1
G03_20180513_090400,2
G03_20180513_092000,1
G03_20180513_093600,2
G03_20180513_095200,1
G03_20180513_100800,1
G03_20180513_102400,1
G03_20180513_104000,1
G03_20180513_105600,1
G03_20180513_111200,1
G03_20180513_112800,2
G03_20180513_114400,2
G03_20180513_120000,1
G03_20180513_121600,1
G03_20180513_123200,2
G03_20180513_124800,1
G03_20180513_130400,1
G03_20180513_132000,2
G03_20180513_133600,1
G03_20180513_135200,1
G03_20180513_140800,1
G03_20180513_142400,1
G03_20180513_144000,1
G03_20180513_145600,1
G03_20180513_151200,1
G03_20180513_152800,1
G03_20180513_154400,1
G03_20180513_160000,2
G03_20180513_161600,1
G03_20180513_163200,1
G03_20180513_164800,1
G03_20180513_200000,2
G03_20180513_201600,1
G03_20180513_203200,2
G03_20180513_204800,1
G03_20180513_210400,1
G03_20180513_212000,1
G03_20180513_213600,1
G03_20180513_215200,1
G03_20180513_220800,2
G03_20180513_222400,1
G03_20180513_224000,1
G03_20180513_225600,2
G03_20180513_231200,2
G03_20180513_232800,1
G03_20180513_234400,1
G03_20180514_000000,2
G03_20180514_001600,1
G03_20180514_003200,1
G03_20180514_004800,1
G03_20180514_010400,2
G03_20180514_012000,1
G03_20180514_013600,1
G03_20180514_015200,1
G03_20180514_020800,2
G03_20180514_022400,2
G03_20180514_024000,1
G03_20180514_025600,1
G03_20180514_031200,1
G03_20180514_032800,1
G03_20180514_034400,2
G03_20180514_040000,1
G03_20180514_041600,1
G03_20180514_043200,2
G03_20180514_044800,2
G03_20180514_080000,2
G03_20180514_081600,1
G03_20180514_083200,2
G03_20180514_084800,1
G03_20180514_090400,2
G03_20180514_092000,1
G03_20180514_093600,1
G03_20180514_095200,1
G03_20180514_100800,1
G03_20180514_102400,1
G03_20180514_104000,1
G03_20180514_105600,1
G03_20180514_111200,1
G03_20180514_112800,1
G03_20180514_114400,2
G03_20180514_120000,1
G03_20180514_121600,1
G03_20180514_123200,2
G03_20180514_124800,1
G03_20180514_130400,1
G03_20180514_132000,1
G03_20180514_133600,1
G03_20180514_135200,1
G03_20180514_140800,1
G03_20180514_142400,3
G03_20180514_144000,1
G03_20180514_145600,2
G03_20180514_151200,1
G03_20180514_152800,1
G03_20180514_154400,1
G03_20180514_160000,2
G03_20180514_161600,1
G03_20180514_163200,2
G03_20180514_164800,1
G03_20180514_200000,2
G03_20180514_201600,2
G03_20180514_203200,2
G03_20180514_204800,3
G03_20180514_210400,1
G03_20180514_212000,1
G03_20180514_213600,2
G03_20180514_215200,1
G03_20180514_220800,2
G03_20180514_222400,1
G03_20180514_224000,1
G03_20180514_225600,1
G03_20180514_231200,1
G03_20180514_232800,2
G03_20180514_234400,1
G03_20180515_000000,1
G03_20180515_001600,1
G03_20180515_003200,1
G03_20180515_004800,3
G03_20180515_010400,1
G03_20180515_012000,2
G03_20180515_013600,1
G03_20180515_015200,1
G03_20180515_020800,2
G03_20180515_022400,1
G03_20180515_024000,2
G03_20180515_025600,1
G03_20180515_031200,1
G03_20180515_032800,1
G03_20180515_034400,1
G03_20180515_040000,2
G03_20180515_041600,2
G03_20180515_043200,1
G03_20180515_044800,1
G03_20180515_080000,1
G03_20180515_081600,1
G03_20180515_083200,1
G03_20180515_084800,2
G03_20180515_090400,1
G03_20180515_092000,1
G03_20180515_093600,1
G03_20180515_095200,1
G03_20180515_100800,1
G03_20180515_102400,1
G03_20180515_104000,1
G03_20180515_105600,2
G03_20180515_111200,1
G03_20180515_112800,2
G03_20180515_114400,1
G03_20180515_120000,2
G03_20180515_121600,1
G03_20180515_123200,1
G03_20180515_124800,1
G03_20180515_130400,1
G03_20180515_132000,1
G03_20180515_133600,1
G03_20180515_135200,1
G03_20180515_140800,2
G03_20180515_142400,1
G03_20180515_144000,1
G03_20180515_145600,2
G03_20180515_151200,2
G03_20180515_152800,1
G03_20180515_154400,1
G03_20180515_160000,1
G03_20180515_161600,1
G03_20180515_163200,1
G03_20180515_164800,1
G03_20180515_200000,1
G03_20180515_201600,1
G03_20180515_203200,2
G03_20180515_204800,1
G03_20180515_210400,1
G03_20180515_212000,2
G03_20180515_213600,1
G03_20180515_215200,1
G03_20180515_220800,2
G03_20180515_222400,1
G03_20180515_224000,1
G03_20180515_225600,1
G03_20180515_231200,2
G03_20180515_232800,1
G03_20180515_234400,2
G03_20180516_000000,1
G03_20180516_001600,1
G03_20180516_003200,1
G03_20180516_004800,1
G03_20180516_010400,2
G03_20180516_012000,1
G03_20180516_013600,1
G03_20180516_015200,1
G03_20180516_020800,1
G03_20180516_022400,2
G03_20180516_024000,2
G03_20180516_025600,1
G03_20180516_031200,1
G03_20180516_032800,1
G03_20180516_034400,1
G03_20180516_040000,1
G03_20180516_041600,1
G03_20180516_043200,2
G03_20180516_044800,1
G03_20180516_080000,1
G03_20180516_081600,1
G03_20180516_083200,2
G03_20180516_084800,1
G03_20180516_090400,1
G03_20180516_092000,1
G03_20180516_093600,1
G03_20180516_095200,1
G03_20180516_100800,1
G03_20180516_102400,1
G03_20180516_104000,1
G03_20180516_105600,2
G03_20180516_111200,1
G03_20180516_112800,1
G03_20180516_114400,1
G03_20180516_120000,1
G03_20180516_121600,2
G03_20180516_123200,2
G03_20180516_124800,1
G03_20180516_130400,1
G03_20180516_132000,1
G03_20180516_133600,1
G03_20180516_135200,1
G03_20180516_140800,2
G03_20180516_142400,1
G03_20180516_144000,1
G03_20180516_145600,1
G03_20180516_151200,1
G03_20180516_152800,1
G03_20180516_154400,1
G03_20180516_160000,2
G03_20180516_161600,1
G03_20180516_163200,1
G03_20180516_164800,2
G03_20180516_200000,2
G03_20180516_201600,2
G03_20180516_203200,2
G03_20180516_204800,2
G03_20180516_210400,2
G03_20180516_212000,1
G03_20180516_213600,1
G03_20180516_215200,1
G03_20180516_220800,2
G03_20180516_222400,1
G03_20180516_224000,1
G03_20180516_225600,2
G03_20180516_231200,1
G03_20180516_232800,1
G03_20180516_234400,3
G03_20180517_000000,2
G03_20180517_001600,1
G03_20180517_003200,1
G03_20180517_004800,1
G03_20180517_010400,2
G03_20180517_012000,1
G03_20180517_013600,1
G03_20180517_015200,2
G03_20180517_020800,2
G03_20180517_022400,2
G03_20180517_024000,1
G03_20180517_025600,1
G03_20180517_031200,1
G03_20180517_032800,1
G03_20180517_034400,1
G03_20180517_040000,2
G03_20180517_041600,1
G03_20180517_043200,2
G03_20180517_044800,1
G03_20180517_080000,1
G03_20180517_081600,1
G03_20180517_083200,2
G03_20180517_084800,1
G03_20180517_090400,1
G03_20180517_092000,1
G03_20180517_093600,1
G03_20180517_095200,1
G03_20180517_100800,2
G03_20180517_102400,1
G03_20180517_104000,1
G03_20180517_105600,1
G03_20180517_111200,1
G03_20180517_112800,2
G03_20180517_114400,1
G03_20180517_120000,2
G03_20180517_121600,1
G03_20180517_123200,2
G03_20180517_124800,2
G03_20180517_130400,1
G03_20180517_132000,1
G03_20180517_133600,1
G03_20180517_135200,2
G03_20180517_140800,2
G03_20180517_142400,1
G03_20180517_144000,1
G03_20180517_145600,1
G03_20180517_151200,1
G03_20180511_170000,1
G03_20180511_173000,1
G03_20180511_171500,2
G03_20180511_174500,1
G03_20180511_180000,1
G03_20180511_181500,1
G03_20180511_183000,1
G03_20180511_184500,1
G03_20180511_190000,1
G03_20180511_191500,1
G03_20180511_193000,2
G03_20180511_194500,1
G03_20180512_050000,2
G03_20180512_051500,2
G03_20180512_053000,1
G03_20180512_054500,1
G03_20180512_060000,1
G03_20180512_063000,1
G03_20180512_061500,2
G03_20180512_070000,1
G03_20180512_064500,2
G03_20180512_071500,1
G03_20180512_073000,1
G03_20180512_170000,1
G03_20180512_074500,1
G03_20180512_171500,1
G03_20180512_173000,1
G03_20180512_174500,2
G03_20180512_180000,1
G03_20180512_181500,1
G03_20180512_183000,2
G03_20180512_184500,1
G03_20180512_190000,1
G03_20180512_191500,1
G03_20180512_193000,1
G03_20180512_194500,1
G03_20180513_050000,1
G03_20180513_051500,1
G03_20180513_053000,2
G03_20180513_054500,1
G03_20180513_060000,1
G03_20180513_061500,1
G03_20180513_063000,2
G03_20180513_070000,1
G03_20180513_064500,1
G03_20180513_071500,1
G03_20180513_073000,1
G03_20180513_074500,1
G03_20180513_170000,1
G03_20180513_173000,1
G03_20180513_171500,2
G03_20180513_174500,2
G03_20180513_180000,2
G03_20180513_183000,2
G03_20180513_181500,1
G03_20180513_184500,2
G03_20180513_190000,1
G03_20180513_191500,1
G03_20180513_193000,1
G03_20180513_194500,1
G03_20180514_050000,2
G03_20180514_051500,2
G03_20180514_054500,2
G03_20180514_053000,1
G03_20180514_061500,1
G03_20180514_060000,1
G03_20180514_063000,1
G03_20180514_064500,1
G03_20180514_070000,1
G03_20180514_071500,2
G03_20180514_073000,1
G03_20180514_170000,1
G03_20180514_074500,1
G03_20180514_173000,1
G03_20180514_171500,2
G03_20180514_174500,1
G03_20180514_180000,1
G03_20180514_183000,1
G03_20180514_181500,1
G03_20180514_184500,1
G03_20180514_190000,1
G03_20180514_191500,1
G03_20180514_193000,1
G03_20180514_194500,1
G03_20180515_051500,1
G03_20180515_050000,1
G03_20180515_053000,2
G03_20180515_060000,1
G03_20180515_054500,2
G03_20180515_063000,1
G03_20180515_061500,1
G03_20180515_070000,1
G03_20180515_064500,1
G03_20180515_071500,3
G03_20180515_073000,1
G03_20180515_074500,1
G03_20180515_171500,1
G03_20180515_170000,2
G03_20180515_173000,1
G03_20180515_174500,1
G03_20180515_180000,1
G03_20180515_181500,2
G03_20180515_183000,2
G03_20180515_184500,2
G03_20180515_190000,2
G03_20180515_191500,1
G03_20180515_193000,1
G03_20180515_194500,1
G03_20180516_050000,2
G03_20180516_051500,1
G03_20180516_053000,2
G03_20180516_060000,2
G03_20180516_054500,1
G03_20180516_063000,1
G03_20180516_061500,2
G03_20180516_064500,1
G03_20180516_071500,1
G03_20180516_070000,2
G03_20180516_073000,1
G03_20180516_074500,1
G03_20180516_171500,1
G03_20180516_170000,1
G03_20180516_174500,2
G03_20180516_173000,2
G03_20180516_181500,1
G03_20180516_180000,1
G03_20180516_183000,1
G03_20180516_184500,2
G03_20180516_190000,1
G03_20180516_193000,1
G03_20180516_191500,1
G03_20180516_194500,2
G03_20180517_050000,2
G03_20180517_053000,2
G03_20180517_051500,1
G03_20180517_060000,2
G03_20180517_054500,2
G03_20180517_061500,1
G03_20180517_063000,1
G03_20180517_064500,2
G03_20180517_070000,1
G03_20180517_071500,1
G03_20180517_073000,1
G03_20180517_074500,2
G04_20180511_095200,1
G04_20180511_100800,1
G04_20180511_102400,2
G04_20180511_104000,1
G04_20180511_111200,1
G04_20180511_112800,2
G04_20180511_114400,1
G04_20180511_120000,1
G04_20180511_121600,1
G04_20180511_123200,1
G04_20180511_124800,1
G04_20180511_130400,2
G04_20180511_132000,2
G04_20180511_133600,1
G04_20180511_135200,1
G04_20180511_144000,1
G04_20180511_145600,1
G04_20180511_154400,1
G04_20180511_163200,1
G04_20180511_201600,2
G04_20180511_204800,1
G04_20180511_210400,2
G04_20180511_212000,1
G04_20180511_213600,1
G04_20180511_220800,1
G04_20180511_222400,1
G04_20180511_224000,1
G04_20180511_225600,1
G04_20180511_231200,1
G04_20180511_232800,2
G04_20180511_234400,2
G04_20180512_000000,2
G04_20180512_001600,3
G04_20180512_003200,1
G04_20180512_004800,1
G04_20180512_010400,2
G04_20180512_012000,1
G04_20180512_013600,1
G04_20180512_015200,1
G04_20180512_020800,1
G04_20180512_022400,1
G04_20180512_024000,1
G04_20180512_025600,1
G04_20180512_031200,2
G04_20180512_032800,2
G04_20180512_034400,2
G04_20180512_040000,1
G04_20180512_041600,1
G04_20180512_043200,2
G04_20180512_044800,1
G04_20180512_080000,1
G04_20180512_081600,2
G04_20180512_083200,1
G04_20180512_084800,1
G04_20180512_090400,1
G04_20180512_092000,1
G04_20180512_093600,1
G04_20180512_095200,1
G04_20180512_100800,2
G04_20180512_102400,1
G04_20180512_104000,1
G04_20180512_105600,1
G04_20180512_111200,1
G04_20180512_121600,1
G04_20180512_124800,2
G04_20180512_160000,1
G04_20180512_164800,1
G04_20180512_201600,1
G04_20180512_203200,2
G04_20180512_204800,1
G04_20180512_210400,1
G04_20180512_212000,1
G04_20180512_213600,1
G04_20180512_215200,1
G04_20180512_220800,1
G04_20180512_222400,1
G04_20180512_224000,2
G04_20180512_225600,1
G04_20180512_231200,1
G04_20180512_234400,1
G04_20180513_000000,1
G04_20180513_001600,1
G04_20180513_003200,2
G04_20180513_004800,1
G04_20180513_010400,1
G04_20180513_012000,1
G04_20180513_013600,2
G04_20180513_015200,2
G04_20180513_020800,2
G04_20180513_022400,1
G04_20180513_024000,1
G04_20180513_025600,1
G04_20180513_031200,1
G04_20180513_032800,1
G04_20180513_034400,2
G04_20180513_040000,2
G04_20180513_041600,1
G04_20180513_043200,2
G04_20180513_044800,1
G04_20180513_080000,1
G04_20180513_081600,1
G04_20180513_083200,1
G04_20180513_084800,2
G04_20180513_090400,1
G04_20180513_092000,1
G04_20180513_093600,1
G04_20180513_095200,1
G04_20180513_100800,1
G04_20180513_102400,1
G04_20180513_104000,1
G04_20180513_105600,1
G04_20180513_111200,1
G04_20180513_112800,2
G04_20180513_114400,1
G04_20180513_120000,2
G04_20180513_121600,1
G04_20180513_123200,1
G04_20180513_124800,1
G04_20180513_130400,1
G04_20180513_132000,1
G04_20180513_133600,1
G04_20180513_135200,1
G04_20180513_140800,1
G04_20180513_142400,1
G04_20180513_144000,1
G04_20180513_145600,1
G04_20180513_151200,1
G04_20180513_152800,1
G04_20180513_154400,1
G04_20180513_160000,1
G04_20180513_161600,1
G04_20180513_163200,1
G04_20180513_164800,2
G04_20180513_201600,1
G04_20180513_203200,2
G04_20180513_204800,1
G04_20180513_210400,2
G04_20180513_213600,1
G04_20180513_215200,1
G04_20180513_220800,1
G04_20180513_222400,1
G04_20180513_224000,1
G04_20180513_225600,1
G04_20180513_231200,2
G04_20180513_232800,1
G04_20180513_234400,1
G04_20180514_000000,1
G04_20180514_001600,1
G04_20180514_003200,1
G04_20180514_004800,2
G04_20180514_010400,3
G04_20180514_012000,1
G04_20180514_013600,1
G04_20180514_015200,1
G04_20180514_020800,1
G04_20180514_022400,1
G04_20180514_024000,1
G04_20180514_025600,1
G04_20180514_031200,1
G04_20180514_032800,1
G04_20180514_034400,1
G04_20180514_040000,1
G04_20180514_041600,1
G04_20180514_043200,1
G04_20180514_044800,1
G04_20180514_080000,2
G04_20180514_081600,1
G04_20180514_083200,1
G04_20180514_084800,1
G04_20180514_090400,1
G04_20180514_092000,1
G04_20180514_093600,1
G04_20180514_095200,1
G04_20180514_100800,1
G04_20180514_102400,1
G04_20180514_104000,2
G04_20180514_105600,1
G04_20180514_111200,1
G04_20180514_114400,1
G04_20180514_120000,1
G04_20180514_121600,1
G04_20180514_123200,2
G04_20180514_124800,1
G04_20180514_130400,1
G04_20180514_132000,1
G04_20180514_133600,2
G04_20180514_135200,1
G04_20180514_140800,1
G04_20180514_144000,1
G04_20180514_145600,2
G04_20180514_151200,2
G04_20180514_152800,1
G04_20180514_154400,1
G04_20180514_160000,1
G04_20180514_161600,1
G04_20180514_163200,1
G04_20180514_200000,2
G04_20180514_201600,2
G04_20180514_203200,1
G04_20180514_204800,1
G04_20180514_210400,1
G04_20180514_212000,1
G04_20180514_213600,1
G04_20180514_215200,1
G04_20180514_220800,1
G04_20180514_222400,1
G04_20180514_224000,1
G04_20180514_225600,2
G04_20180514_231200,1
G04_20180514_232800,1
G04_20180514_234400,1
G04_20180515_022400,1
G04_20180515_024000,1
G04_20180515_025600,1
G04_20180515_031200,1
G04_20180515_032800,2
G04_20180515_034400,2
G04_20180515_040000,2
G04_20180515_041600,1
G04_20180515_043200,1
G04_20180515_044800,1
G04_20180515_080000,1
G04_20180515_081600,2
G04_20180515_083200,1
G04_20180515_084800,2
G04_20180515_090400,1
G04_20180515_092000,1
G04_20180515_093600,1
G04_20180515_095200,1
G04_20180515_100800,2
G04_20180515_102400,2
G04_20180515_104000,1
G04_20180515_105600,1
G04_20180515_111200,1
G04_20180515_112800,1
G04_20180515_114400,2
G04_20180515_120000,1
G04_20180515_121600,1
G04_20180515_123200,1
G04_20180515_124800,2
G04_20180515_130400,1
G04_20180515_132000,1
G04_20180515_133600,2
G04_20180515_135200,1
G04_20180515_140800,1
G04_20180515_142400,2
G04_20180515_144000,1
G04_20180515_145600,1
G04_20180515_151200,2
G04_20180515_152800,2
G04_20180515_154400,1
G04_20180515_160000,1
G04_20180515_161600,1
G04_20180516_135200,1
G04_20180516_140800,2
G04_20180516_142400,1
G04_20180516_145600,2
G04_20180516_152800,2
G04_20180516_154400,1
G04_20180516_160000,1
G04_20180516_163200,2
G04_20180516_164800,1
G04_20180516_200000,1
G04_20180516_201600,1
G04_20180516_204800,1
G04_20180516_210400,2
G04_20180516_212000,1
G04_20180516_213600,1
G04_20180516_215200,3
G04_20180516_220800,2
G04_20180516_222400,2
G04_20180516_224000,2
G04_20180516_225600,2
G04_20180516_231200,2
G04_20180516_232800,1
G04_20180516_234400,1
G04_20180517_000000,1
G04_20180517_001600,2
G04_20180517_003200,2
G04_20180517_004800,2
G04_20180517_010400,1
G04_20180517_012000,1
G04_20180517_013600,2
G04_20180517_015200,1
G04_20180517_020800,1
G04_20180517_022400,2
G04_20180517_024000,1
G04_20180517_025600,1
G04_20180517_031200,1
G04_20180517_032800,2
G04_20180517_034400,2
G04_20180517_040000,1
G04_20180517_041600,2
G04_20180517_043200,1
G04_20180517_044800,1
G04_20180517_080000,1
G04_20180517_081600,1
G04_20180517_083200,1
G04_20180517_084800,2
G04_20180517_090400,1
G04_20180517_092000,1
G04_20180517_093600,1
G04_20180517_095200,2
G04_20180517_100800,1
G04_20180517_102400,2
G04_20180517_104000,2
G04_20180517_105600,1
G04_20180517_111200,2
G04_20180511_170000,2
G04_20180511_171500,1
G04_20180511_173000,1
G04_20180511_174500,1
G04_20180511_181500,2
G04_20180511_180000,1
G04_20180511_184500,1
G04_20180511_183000,2
G04_20180511_190000,1
G04_20180511_194500,2
G04_20180512_050000,2
G04_20180512_051500,2
G04_20180512_053000,2
G04_20180512_060000,1
G04_20180512_054500,1
G04_20180512_063000,1
G04_20180512_061500,1
G04_20180512_064500,1
G04_20180512_070000,1
G04_20180512_073000,1
G04_20180512_071500,2
G04_20180512_170000,1
G04_20180512_074500,1
G04_20180512_173000,3
G04_20180512_171500,2
G04_20180512_180000,2
G04_20180512_184500,1
G04_20180512_183000,1
G04_20180512_190000,2
G04_20180512_191500,2
G04_20180513_050000,2
G04_20180512_193000,1
G04_20180513_053000,1
G04_20180513_051500,1
G04_20180513_054500,1
G04_20180513_060000,2
G04_20180513_063000,2
G04_20180513_061500,2
G04_20180513_064500,1
G04_20180513_070000,2
G04_20180513_071500,1
G04_20180513_074500,1
G04_20180513_073000,1
G04_20180513_171500,1
G04_20180513_170000,2
G04_20180513_173000,1
G04_20180513_174500,2
G04_20180513_181500,1
G04_20180513_180000,1
G04_20180513_184500,1
G04_20180513_183000,1
G04_20180513_193000,1
G04_20180513_194500,1
G04_20180514_050000,2
G04_20180514_051500,1
G04_20180514_053000,1
G04_20180514_054500,1
G04_20180514_060000,1
G04_20180514_061500,2
G04_20180514_063000,1
G04_20180514_070000,2
G04_20180514_064500,1
G04_20180514_071500,1
G04_20180514_073000,1
G04_20180514_074500,2
G04_20180514_170000,1
G04_20180514_174500,1
G04_20180514_171500,1
G04_20180514_180000,1
G04_20180514_183000,2
G04_20180514_184500,1
G04_20180514_190000,1
G04_20180514_191500,1
G04_20180514_193000,1
G04_20180514_194500,2
G04_20180515_051500,1
G04_20180515_050000,2
G04_20180515_053000,1
G04_20180515_054500,2
G04_20180515_061500,1
G04_20180515_060000,1
G04_20180515_064500,2
G04_20180515_063000,1
G04_20180515_071500,2
G04_20180515_070000,2
G04_20180515_074500,1
G04_20180515_073000,1
G04_20180516_170000,1
G04_20180516_171500,2
G04_20180516_173000,2
G04_20180516_174500,1
G04_20180516_183000,1
G04_20180516_180000,1
G04_20180516_184500,1
G04_20180516_190000,1
G04_20180516_191500,2
G04_20180516_193000,2
G04_20180516_194500,2
G04_20180517_051500,1
G04_20180517_050000,1
G04_20180517_054500,1
G04_20180517_053000,1
G04_20180517_061500,1
G04_20180517_060000,1
